epoch,mAP@50,mAP
319,0.430,0.256
320,0.430,0.256
321,0.429,0.256
322,0.429,0.256
323,0.430,0.256
324,0.430,0.256
325,0.430,0.256
326,0.430,0.256
327,0.430,0.256
328,0.430,0.256
329,0.430,0.256
330,0.430,0.256
331,0.430,0.256
332,0.430,0.256
333,0.430,0.256
334,0.430,0.256
335,0.429,0.256
336,0.429,0.256
337,0.430,0.256
338,0.430,0.256
339,0.430,0.256
340,0.431,0.256
341,0.431,0.256
342,0.431,0.257
343,0.432,0.257
344,0.432,0.257
345,0.432,0.257
346,0.432,0.257
347,0.432,0.257
348,0.432,0.257
349,0.433,0.257
350,0.433,0.257
351,0.433,0.258
352,0.433,0.258
353,0.433,0.258
354,0.433,0.258
355,0.433,0.258
356,0.433,0.258
357,0.434,0.258
358,0.434,0.258
359,0.434,0.258
360,0.435,0.259
361,0.434,0.259
362,0.434,0.259
363,0.434,0.259
364,0.434,0.259
365,0.434,0.259
366,0.434,0.259
367,0.434,0.259
368,0.435,0.259
369,0.434,0.259
370,0.435,0.259
371,0.435,0.260
372,0.435,0.260
373,0.435,0.260
374,0.435,0.260
375,0.435,0.259
376,0.434,0.259
377,0.435,0.259
378,0.435,0.259
379,0.436,0.259
380,0.436,0.260
381,0.435,0.259
382,0.435,0.260
383,0.436,0.260
384,0.435,0.260
385,0.435,0.260
386,0.436,0.260
387,0.435,0.260
388,0.436,0.260
389,0.437,0.261
390,0.436,0.261
391,0.437,0.261
392,0.437,0.261
393,0.437,0.261
394,0.437,0.261
395,0.437,0.261
396,0.437,0.261
397,0.438,0.261
398,0.438,0.261
399,0.438,0.261
400,0.438,0.261
401,0.438,0.262
402,0.438,0.262
403,0.438,0.262
404,0.438,0.262
405,0.438,0.262
406,0.438,0.262
407,0.438,0.262
408,0.438,0.262
409,0.438,0.262
410,0.439,0.262
411,0.439,0.263
412,0.439,0.263
413,0.439,0.263
414,0.439,0.263
415,0.440,0.263
416,0.439,0.263
417,0.439,0.263
418,0.439,0.263
419,0.439,0.263
420,0.438,0.263
421,0.439,0.263
422,0.439,0.263
423,0.439,0.263
424,0.439,0.263
425,0.439,0.263
426,0.439,0.263
427,0.439,0.263
428,0.440,0.263
429,0.440,0.263
430,0.439,0.263
431,0.440,0.263
432,0.440,0.263
433,0.440,0.263
434,0.440,0.263
435,0.440,0.263
436,0.441,0.264
437,0.441,0.264
438,0.441,0.263
439,0.442,0.264
440,0.441,0.264
441,0.442,0.264
442,0.441,0.264
443,0.442,0.264
444,0.442,0.265
445,0.441,0.265
446,0.441,0.265
447,0.441,0.265
448,0.442,0.265
449,0.442,0.265
450,0.442,0.265
451,0.442,0.265
452,0.442,0.265
453,0.442,0.265
454,0.442,0.266
455,0.443,0.266
456,0.443,0.266
457,0.443,0.266
458,0.443,0.266
459,0.442,0.266
